marianela cifuentes | chief | corte suprema
vicaria de la solidaridad | if part of | Instituto Medico Legal
Carabineros | if part of | corporacion memoria lonquen
corporacion memoria lonquen | if part of | vicaria de la solidaridad
asamblea general | if part of | naciones unidas
unidad programa de derechos humanos de la subsecretaria de derechos humanos | if part of | unidad programa de derechos humanos de la subsecretaria de derechos humanos
Carabineros | if part of | fiscalia militar
Corte Marcial | if part of | fiscalia militar
Instituto Medico Legal | if part of | fiscalia militar
Carabineros | if part of | ministerio del interior
partido por la democracia | if part of | organismos de derechos humanos
carabineros de chile | if part of | corte de apelaciones de san miguel
cooperativa agricola el triunfador | if part of | vicaria de la solidaridad
Instituto Medico Legal | if part of | corte suprema
justicia militar | if part of | corte suprema
vicaria de la solidaridad | if part of | naciones unidas
david coliqueo fuentealba | was present at | isla de maipo
justo ignacio romo peralta | was present at | isla de maipo
felix hector sagredo aravena | was present at | isla de maipo
jacinto torres gonzalez | was present at | isla de maipo
juan jose villegas navarro | was present at | isla de maipo
pablo nancupil raguileo | was present at | isla de maipo
marianela cifuentes | was present at | isla de maipo
abraham santibanez | was present at | hornos de lonquen
enrique alvear | was present at | hornos de lonquen
cristian precht | was present at | hornos de lonquen
javier egana | was present at | hornos de lonquen
alejandro gonzalez | was present at | hornos de lonquen
maximo pacheco | was present at | hornos de lonquen
jaime martinez | was present at | hornos de lonquen
adolfo banados cuadra | was present at | hornos de lonquen
lautaro eugenio castro mendoza | was present at | isla de maipo
gonzalo salazar | was present at | cementerio parroquial de isla de maipo
hector solis | was present at | cementerio parroquial de isla de maipo
lautaro eugenio castro mendoza | was present at | isla de maipo
cristian precht | was present at | lonquen
luis navarro | was present at | lonquen
marisela santibanez | was present at | lonquen
lorena pizarro | was present at | lonquen
haydee oberreuter | was present at | lonquen
carlos maureira | was present at | lonquen
enrique alvear | was present at | lonquen
javier egana | was present at | lonquen
alejandro gonzalez | was present at | lonquen
maximo pacheco | was present at | lonquen
jaime martinez | was present at | lonquen
abraham santibanez | was present at | lonquen
juana godoy | was present at | lonquen
gonzalo aguirre | was present at | lonquen
luis navarro | was present at | lonquen
adolfo banados cuadra | was present at | lonquen
lautaro eugenio castro mendoza | was present at | lonquen
sergio miguel maureira lillo | was present at | isla de maipo
rodolfo antonio maureira lillo | was present at | isla de maipo
segundo armando maureira lillo | was present at | isla de maipo
jose manuel maureira lillo | was present at | isla de maipo
oscar nibaldo hernandez flores | was present at | isla de maipo
carlos segundo hernandez flores | was present at | isla de maipo
nelson hernandez flores | was present at | isla de maipo
enrique astudillo alvarez | was present at | isla de maipo
omar astudillo alvarez | was present at | isla de maipo
ramon astudillo alvarez | was present at | isla de maipo
miguel angel arturo brant bustamante | was present at | isla de maipo
ivan gerardo ordonez lama | was present at | isla de maipo
jose manuel herrera villegas | was present at | isla de maipo
manuel jesus navarro salinas | was present at | isla de maipo
gonzalo salazar | was present at | instituto medico legal
sergio adrian maureira lillo | was present at | fundo naguayan
carlos segundo hernandez flores | was present at | calle la ballica n° 12
nelson hernandez flores | was present at | calle la ballica n° 12
oscar nibaldo hernandez flores | was present at | calle la ballica n° 12
ignacio del carmen vergara guajardo | was present at | calle la ballica n° 12
rodolfo antonio maureira munoz | was present at | fundo naguayan
sergio miguel maureira munoz | was present at | fundo naguayan
jose manuel maureira munoz | was present at | fundo naguayan
segundo armando maureira munoz | was present at | fundo naguayan
enrique astudillo alvarez | was present at | fundo naguayan
omar astudillo rojas | was present at | fundo naguayan
ramon astudillo rojas | was present at | fundo naguayan
miguel angel arturo brant bustamante | was present at | lonquen
carlos segundo hernandez flores | was present at | lonquen
nelson hernandez flores | was present at | lonquen
oscar nibaldo hernandez flores | was present at | lonquen
jose manuel herrera villegas | was present at | lonquen
sergio adrian maureira lillo | was present at | lonquen
jose manuel maureira munoz | was present at | lonquen
rodolfo antonio maureira munoz | was present at | lonquen
segundo armando maureira munoz | was present at | lonquen
sergio miguel maureira munoz | was present at | lonquen
manuel jesus navarro salinas | was present at | lonquen
ivan gerardo ordonez lama | was present at | lonquen
enrique astudillo alvarez | was present at | lonquen
omar astudillo rojas | was present at | lonquen
ramon astudillo rojas | was present at | lonquen
juan jose villegas navarro | was present at | lonquen
felix hector sagredo aravena | was present at | lonquen
manuel munoz rencoret | was present at | lonquen
jacinto torres gonzalez | was present at | lonquen
david coliqueo fuentealba | was present at | lonquen
jose belmar sepulveda | was present at | lonquen
justo ignacio romo peralta | was present at | lonquen
gonzalo salazar | was present at | instituto medico legal
sergio fernandez | was present at | lonquen
jose auth | was present at | lonquen
purisima munoz | was present at | lonquen
sergio miguel maureira lillo | was present at | lonquen
marcelo ivan castro mendoza | was present at | isla de maipo
david coliqueo fuentealba | was present at | isla de maipo
justo ignacio romo peralta | was present at | isla de maipo
felix hector sagredo aravena | was present at | isla de maipo
jacinto torres gonzalez | was present at | isla de maipo
juan jose villegas navarro | was present at | isla de maipo
pablo nancupil raguileo | was present at | isla de maipo
marcelo ivan castro mendoza | was present at | lonquen
pablo nancupil raguileo | was present at | lonquen
luis diaz bahamondes | was present at | lonquen
israel borquez | was present at | santiago
Juan J. Villegas Navarro | was present at | lonquen
sergio fernandez | was present at | lonquen
jose auth | was present at | lonquen
purisima munoz | was present at | lonquen
adriana sottovia | was present at | san miguel
sergio diez | was present at | lonquen
agrupacion de familiares de detenidos desaparecidos | affected by | supreme court condemns carabineros
carabineros de chile | cause of | supreme court condemns carabineros
carabineros de chile | cause of | kidnappings in isla de maipo
corte suprema | cause of | supreme court condemns carabineros
fisco | cause of | supreme court condemns carabineros
Carabineros | cause of | Arrest of 15 men
Carabineros | cause of | Finding of human remains
corte suprema | affected by | Corte Suprema investigation
Corte Marcial | cause of | Corte Marcial verdict
Corte de Apelaciones de Santiago | affected by | Identification of 13 bodies
Servicio Medico Legal | cause of | Identification of 13 bodies
Carabineros | cause of | detentions in isla de maipo
Carabineros | cause of | discovery of lonquen bodies
vicaria de la solidaridad | unspecified | discovery of lonquen bodies
Instituto Medico Legal | affected by | discovery of lonquen bodies
Carabineros | cause of | masacre de Lonquen conmemoration
corporacion memoria lonquen | affected by | masacre de Lonquen conmemoration
vicaria de la solidaridad | unspecified | masacre de Lonquen conmemoration
orquesta de instrumentos autoctonos y nuevas tecnologia | unspecified | masacre de Lonquen conmemoration
vicaria de la solidaridad | cause of | first visit to Lonquen
corte suprema | affected by | formal complaint presented
corte suprema | cause of | pleno designates minister
Instituto Medico Legal | cause of | pleno designates minister
justicia militar | affected by | ministro Banados declares incompetence
tenencia de isla de maipo | cause of | military prosecutor indicts
Carabineros | cause of | military prosecutor indicts
Carabineros | cause of | arrest of 15 men
Instituto Medico Legal | affected by | discovery of Lonquen ovens
justicia militar | cause of | fiscal decision on officers
Corte Marcial | cause of | court martial confirmation
vicaria de la solidaridad | cause of | first commission to Lonquen
empresa metropolitana de residuos solidos | cause of | discovery of Lonquen ovens
Carabineros | cause of | mass arrest at isla de maipo plaza
Carabineros | cause of | arrest at sergio maureira's house
Carabineros | cause of | arrest at la ballica no 12
Carabineros | cause of | arrest of rodolfo and sergio maureira
Carabineros | cause of | second maureira house arrest
Carabineros | cause of | astudillo family arrest
Carabineros | cause of | lonquen massacre
fisco | affected by | lonquen massacre
unidad programa de derechos humanos de la subsecretaria de derechos humanos | unspecified | lonquen massacre
fiscalia militar | cause of | dictation of orders 1979
Corte Marcial | affected by | court martial decision
Instituto Medico Legal | affected by | death of detainees
ministerio del interior | affected by | discovery of remains
Carabineros | cause of | arrest of youths
Carabineros | cause of | death of detainees
iglesia catolica | affected by | discovery of remains
empresa metropolitana de residuos solidos | cause of | opposition to Lonquen landfill
partido por la democracia | cause of | opposition to Lonquen landfill
organismos de derechos humanos | affected by | opposition to Lonquen landfill
carabineros de chile | cause of | detention at plaza de isla de maipo
carabineros de chile | cause of | detentions at domiciles in isla de maipo
carabineros de chile | cause of | sentencing of former carabineros
carabineros de chile | cause of | supreme court confirmation
corte de apelaciones de san miguel | affected by | sentencing of former carabineros
corte suprema | affected by | supreme court confirmation
iglesia catolica | unspecified | remains identified in lonquen
chile | unspecified | sentencing of former carabineros
vicaria de la solidaridad | cause of | discovery at lonquen
corte suprema | affected by | un report to the supreme court
investigaciones | affected by | un report to the supreme court
Instituto Medico Legal | unspecified | discovery at lonquen
Corte de Apelaciones de Santiago | affected by | minister in visit extraordinary
cooperativa agricola el triunfador | cause of | discovery at lonquen
justicia militar | affected by | declaration of incompetence
justicia militar | affected by | military indictment issued
Carabineros | cause of | 7 carabineros acusados por Lonquen
vicaria de la solidaridad | affected by | primer Comision verifica Lonquen
partido por la democracia | unspecified | empresa propone basural
corte de apelaciones de san miguel | unspecified | 7 carabineros acusados por Lonquen
