lorena pizarro | chief | agrupacion de familiares de detenidos desaparecidos
lautaro castro mendoza | cause of | masacre de lonquen
david coliqueo fuentealba | cause of | corte suprema conviction
justo ignacio romo peralta | cause of | corte suprema conviction
felix hector sagredo aravena | cause of | corte suprema conviction
jacinto torres gonzalez | cause of | corte suprema conviction
juan jose villegas navarro | cause of | corte suprema conviction
pablo nancupil raguileo | cause of | corte suprema conviction
abraham santibanez | affected by | hallazgo cuerpos
enrique alvear | affected by | hallazgo cuerpos
adolfo banados cuadra | cause of | hallazgo cuerpos
marcelo castro mendoza | cause of | hallazgo de lonquen
david coliqueo peralta | unspecified | hallazgo de lonquen
justo ignacio romo peralta | unspecified | hallazgo de lonquen
carlos contreras | unspecified | masacre de lonquen
luis navarro | affected by | masacre de lonquen
marisela santibanez | affected by | masacre de lonquen
lorena pizarro | affected by | masacre de lonquen
haydee oberreuter | affected by | masacre de lonquen
carlos maureira | affected by | masacre de lonquen
enrique alvear | affected by | hallazgo
juan j... | unspecified | hallazgo
adolfo banados cuadra | cause of | designation
lautaro castro mendoza | unspecified | conclusion
lautaro castro mendoza | cause of | prision
sergio maureira lillo | affected by | detencion
oscar hernandez flores | affected by | detencion
enrique astudillo alvarez | affected by | detencion
miguel brant | affected by | detencion
ministro banados | cause of | encargatoria de reo
marianela cifuentes | affected by | condena
sergio diez | cause of | hallazgo
cristian precht | cause of | creacion comision
adolfo banados cuadra | affected by | designacion ministro
adriana sottovia | unspecified | accusation
patio civico de la municipalidad de isla de maipo | is contained in | isla de maipo
isla de maipo | is contained in | cementerio parroquial
manuel rodriguez 988 | is contained in | isla de maipo
cerro chena | is contained in | isla de maipo
polvorin de talagante | is contained in | isla de maipo
isla de maipo | is contained in | parque lonquen
calle la ballica n° 12 | is contained in | naguayan
wake | occurs at | patio civico de la municipalidad de isla de maipo
corte suprema conviction | occurs at | isla de maipo
identificacion y sepultura | occurs at | cementerio parroquial
hallazgo de lonquen | occurs at | manuel rodriguez 988
hallazgo de lonquen | occurs at | polvorin de talagante
masacre de lonquen | occurs at | isla de maipo
investigation | occurs at | santiago
conclusion | occurs at | santiago
charges | occurs at | santiago
prision | occurs at | isla de maipo
amnistia | occurs at | isla de maipo
confirmacion | occurs at | isla de maipo
masacre de lonquen | occurs at | isla de maipo
masacre de lonquen | occurs at | naguayan
masacre de lonquen | occurs at | calle la ballica n° 12
determination of events by magistrate | occurs at | isla de maipo
hallazgo | occurs at | santiago
designacion ministro | occurs at | santiago
agrupacion de familiares de detenidos desaparecidos | if part of | municipalidad de isla de maipo
carabineros | if part of | corte suprema
comisaria de buin | if part of | tenencia de carabineros
reten de viluco | if part of | tenencia de carabineros
orquesta de instrumentos autoctonos y nuevas tecnologia oiant de argentina | if part of | corporacion memoria lonquen
carabineros | if part of | instituto medico legal
carabineros | if part of | unidad programa de derechos humanos
carabineros | if part of | fiscal militar
carabineros de chile | if part of | iglesia catolica
gobierno | if part of | corte suprema
comision de abogados por la democracia | if part of | partido por la democracia
empresa metropolitana de residuos solidos | if part of | carabineros
municipalidad de isla de maipo | unspecified | wake
agrupacion de familiares de detenidos desaparecidos | affected by | corte suprema conviction
carabineros | affected by | hallazgo cuerpos
municipalidad de isla de maipo | cause of | detencion y desaparicion
corte suprema | unspecified | investigacion de lonquen
corte suprema | affected by | aplicacion de ley de amnistia
corte marcial | affected by | confirmacion de resolucion
fiscal militar gonzalo salazar | unspecified | confirmacion de resolucion
cementerio parroquial de isla de maipo | cause of | identificacion y sepultura
revista hoy | cause of | hallazgo cuerpos
tenencia de carabineros | affected by | hallazgo de lonquen
instituto medico legal | unspecified | hallazgo de lonquen
corte de apelaciones de santiago | unspecified | hallazgo de lonquen
corporacion memoria lonquen | unspecified | masacre de lonquen
orquesta de instrumentos autoctonos y nuevas tecnologia oiant de argentina | unspecified | masacre de lonquen
instituto medico legal | affected by | hallazgo
corte suprema | affected by | presentation
corte de apelaciones de santiago | affected by | investigation
corte suprema | cause of | conclusion
corte suprema | unspecified | charges
carabineros | affected by | prision
carabineros | cause of | dinamitacion
carabineros | cause of | protesta
carabineros | cause of | descubrimiento
carabineros | cause of | detencion
carabineros | cause of | masacre de lonquen
unidad programa de derechos humanos | unspecified | masacre de lonquen
fiscal militar | cause of | encargatoria de reo
carabineros | affected by | encargatoria de reo
carabineros | unspecified | determination of events by magistrate
instituto medico legal | unspecified | encargatoria de reo
partido por la democracia | affected by | opposition to landfill proposal
iglesia catolica | affected by | hallazgo
carabineros de chile | unspecified | condena
carabineros de chile | unspecified | condena
chile | cause of | hallazgo
corte suprema | affected by | designacion ministro
comision de abogados por la democracia | unspecified | discovery
empresa metropolitana de residuos solidos | unspecified | proposal
partido por la democracia | unspecified | proposal
carabineros | cause of | accusation
david coliqueo fuentealba | was present at | patio civico de la municipalidad de isla de maipo
abraham santibanez | was present at | isla de maipo
hector solis | was present at | cementerio parroquial
marcelo castro mendoza | was present at | manuel rodriguez 988
justo ignacio romo peralta | was present at | isla de maipo
felix hector sagredo aravena | was present at | isla de maipo
jacinto torres gonzalez | was present at | isla de maipo
juan jose villegas navarro | was present at | isla de maipo
sergio maureira lillo | was present at | isla de maipo
oscar hernandez flores | was present at | isla de maipo
enrique astudillo alvarez | was present at | isla de maipo
miguel brant | was present at | isla de maipo
ivan ordonez | was present at | isla de maipo
jose herrera | was present at | isla de maipo
manuel navarro | was present at | isla de maipo
marianela cifuentes | was present at | isla de maipo
david coliqueo fuentealba | was present at | isla de maipo
pablo nancupil raguileo | was present at | isla de maipo
