Base Aérea Los Cóndores | ISCONTAINEDIN | Alto Hospicio
Froilán Moncada Sáez | ISRELATEDTO | Gerardo Poblete Fernández
Blas Espinoza Barraza | ISRELATEDTO | Gerardo Poblete Fernández
Plaza Brasil | ISRELATEDTO | Gerardo Poblete Fernández
Plaza Brasil | ISRELATEDTO | Monolith In Honor Of Gerardo Poblete Fernández
Supreme Court Of Justice | ISRELATEDTO | Daniel Calvo
Alejandro Valle | ISRELATEDTO | Don Bosco College
Alejandro Valle | ISRELATEDTO | Gerardo Poblete Fernández
Nelson Caucoto | ISRELATEDTO | Gerardo Poblete Fernández
Nicanor Herrera | ISRELATEDTO | Gerardo Poblete Fernández
Sironvalles Buteler | ISCONTAINEDIN | Comisaría De Iquique
Sironvalles Buteler | OCCURSAT | Octubre De 1973
Poblete | ISRELATEDTO | Seminarista Salgado
Poblete | ISRELATEDTO | Colegio Juan Bosco
Seminarista Salgado | ISRELATEDTO | Colegio Juan Bosco
Izquierda Cristiana | ISRELATEDTO | Macul
Izquierda Cristiana | ISRELATEDTO | Gerardo Poblete Fernández
Dirección Nacional De La Izquierda Cristiana De Chile | ISRELATEDTO | Fernando Astudillo Becerra
Dirección Nacional De La Izquierda Cristiana De Chile | ISRELATEDTO | Héctor Soto
Dirección Nacional De La Izquierda Cristiana De Chile | ISRELATEDTO | Humberto González
Dirección Nacional De La Izquierda Cristiana De Chile | ISRELATEDTO | Kamila Morgado
Dirección Nacional De La Izquierda Cristiana De Chile | ISRELATEDTO | Jocelyn Soto
Comisaría De Carabineros No1 De Iquique | ISCONTAINEDIN | Iquique
Comisaría De Carabineros No1 De Arica | ISCONTAINEDIN | Arica
Comisaría De Carabineros No3 De Arica | ISCONTAINEDIN | Arica
Comisaría De Carabineros No1 De Iquique | ISCONTAINEDIN | Pedro Lagos
Comisaría De Carabineros No1 De Arica | ISCONTAINEDIN | Avenida St Maria 900
Comisaría De Carabineros No3 De Arica | ISCONTAINEDIN | Avenida Loa No.1475
Comisaría De Carabineros No1 De Iquique | ISRELATEDTO | Rama Carabineros
Comisaría De Carabineros No1 De Arica | ISRELATEDTO | Rama Carabineros
Comisaría De Carabineros No3 De Arica | ISRELATEDTO | Servicio De Inteligencia De Carabineros (Sicar)
Comisaría De Carabineros No3 De Arica | ISRELATEDTO | Rama Carabineros
Teniente Juan Antonio Muñoz Muñoz | ISRELATEDTO | Comisaría De Carabineros No1 De Iquique
Teniente Juan Antonio Muñoz Muñoz | ISRELATEDTO | Rama Carabineros
Sargento Blas Barraza Quiroga | ISRELATEDTO | Comisaría De Carabineros No1 De Iquique
Sargento Blas Barraza Quiroga | ISRELATEDTO | Rama Carabineros
Suboficial René Valdivia | ISRELATEDTO | Comisaría De Carabineros No1 De Iquique
Suboficial René Valdivia | ISRELATEDTO | Rama Carabineros
Informe Valech | ISRELATEDTO | Comisaría De Carabineros No1 De Iquique
Archivo Memoriaviva | ISRELATEDTO | Comisaría De Carabineros No1 De Iquique
Informe Valech | ISRELATEDTO | Comisaría De Carabineros No1 De Arica
Memoriaviva | ISRELATEDTO | Comisaría De Carabineros No1 De Arica
Elmostrador.Cl, 28 De Septiembre 2018 | ISRELATEDTO | Atiliano Hernández Hernández
Atiliano Hernández Hernández | ISRELATEDTO | Comisaría De Carabineros No1 De Arica
Atiliano Hernández Hernández | ISRELATEDTO | Rama Carabineros
Hugo Dolmestch | ISRELATEDTO | Elmostrador.Cl, 28 De Septiembre 2018
Carlos Künsemüller | ISRELATEDTO | Elmostrador.Cl, 28 De Septiembre 2018
Lamberto Cisternas | ISRELATEDTO | Elmostrador.Cl, 28 De Septiembre 2018
Manuel Antonio Valderrama | ISRELATEDTO | Elmostrador.Cl, 28 De Septiembre 2018
Jorge Dahm | ISRELATEDTO | Elmostrador.Cl, 28 De Septiembre 2018
Luis Pino Soto | ISRELATEDTO | Laizquierdadiario.Cl, 11 De Septiembre 2019
Patria Y Libertad | ISRELATEDTO | Laizquierdadiario.Cl, 11 De Septiembre 2019
Senator Udi Pilo Durana | ISRELATEDTO | Laizquierdadiario.Cl, 11 De Septiembre 2019
Cni | ISRELATEDTO | Comisaría De Carabineros No3 De Arica
Cni | ISRELATEDTO | Laizquierdadiario.Cl, 11 De Septiembre 2019
Comisaría De Carabineros Oficina Victoria | ISCONTAINEDIN | Oficina Salitrera Victoria
Oficina Salitrera Victoria | ISCONTAINEDIN | Arica I Región
Comisaría De Carabineros Oficina Victoria | OCCURSAT | 1973-09
Comisaría De Carabineros Oficina Victoria | OCCURSAT | 1975-01
Comisaría De Carabineros Oficina Victoria | ISRELATEDTO | Campamento De Prisioneros De Pisagua
Comisaría De Carabineros Oficina Victoria | ISRELATEDTO | Regimiento De Telecomunicaciones N° 6 Tarapacá
Comisaría De Carabineros Oficina Victoria | ISRELATEDTO | Informe Valech
Comisaría De Carabineros Pozo Almonte | ISCONTAINEDIN | Calle Comercio S/N
Comisaría De Carabineros Pozo Almonte | OCCURSAT | 1973-09
Comisaría De Carabineros Pozo Almonte | ISRELATEDTO | Informe Valech
Cuartel De Investigaciones De Iquique | ISCONTAINEDIN | Calle Barros Arana
Cuartel De Investigaciones De Iquique | ISCONTAINEDIN | Calle O'Higgins
Cuartel De Investigaciones De Iquique | ISCONTAINEDIN | Iquique
Detentions | OCCURSAT | Cuartel De Investigaciones De Iquique
Detentions | ISPARTOF | Dictatorship
Manuel Sanhueza | ISRELATEDTO | Pisagua
Luis Fernando Rojas Valenzuela | ISRELATEDTO | Iquique
Juan Calderón Villalón | ISRELATEDTO | Pisagua
Marcelo Guzmán Fuentes | ISRELATEDTO | Pisagua
Luis Alberto Lizardi Lizardi | ISRELATEDTO | Pisagua
Nolberto Cañas Cañas | ISRELATEDTO | Pisagua
Juan Jiménez Vidal | ISRELATEDTO | Pisagua
Michel Salim Nash Sáez | ISRELATEDTO | Pisagua
Jorge Marín Rossel | ISRELATEDTO | Iquique
Williams Millar Sanhueza | ISRELATEDTO | Iquique
Pedro Prado Ortiz | ISRELATEDTO | Iquique
Manuel Heriberto Araya Zavala | ISRELATEDTO | Pisagua
Consejo De Guerra | OCCURSAT | Campo De Prisioneros Políticos
Mario Acuña | ISRELATEDTO | Consejo De Guerra
Sexta División De Ejército | ISPARTOF | Carlos Forestier Haensen
Julio Cabezas Gacitúa | ISRELATEDTO | Iquique
Gerardo Poblete | ISRELATEDTO | Iquique
Blas Espinoza Barraza | ISRELATEDTO | Gerardo Poblete
Froilán Moncada Sáez | ISRELATEDTO | Gerardo Poblete
Enzo Meniconi Lorca | ISRELATEDTO | Gerardo Poblete
Rodolfo Fuenzalida Fernandez | ISRELATEDTO | Consejo De Guerra
Juan Antonio Ruz | ISRELATEDTO | Consejo De Guerra
José Sampson Ocaranza | ISRELATEDTO | Consejo De Guerra
Freddy Taberna Gallegos | ISRELATEDTO | Consejo De Guerra
Germán Palominos Lamas | ISRELATEDTO | Consejo De Guerra
Isaías Higueras Zúñiga | ISRELATEDTO | Pisagua
Nelson Márquez Agusto | ISRELATEDTO | Pisagua
Orlando Cabello Cabello | ISRELATEDTO | Museo De La Memoria
Nicolás Chanez Chanez | ISRELATEDTO | Museo De La Memoria
Juan Mamani Garcia | ISRELATEDTO | Museo De La Memoria
Luis Manríquez Wilden | ISRELATEDTO | Museo De La Memoria
Hugo Martinez Guillen | ISRELATEDTO | Museo De La Memoria
Juan Rojas Osega | ISRELATEDTO | Museo De La Memoria
Alberto Yáñez Carvajal | ISRELATEDTO | Pisagua
Luis Toro Castillo | ISRELATEDTO | Pisagua
Henry Torres Flores | ISRELATEDTO | Pisagua
Manuel Sanhueza Mellado | ISRELATEDTO | Pisagua
Marcelino Lamas Largo | ISRELATEDTO | Ejército
Marcelino Lamas Largo | ISRELATEDTO | Iquique
Concejo Municipal | ISRELATEDTO | Avenida Salvador Allende
Mario Díaz | ISRELATEDTO | Plaza Pedro Prado Ortiz
Pedro Prado Ortiz | ISRELATEDTO | Jorge Rogelio Marín Rossel
Pedro Prado Ortiz | ISRELATEDTO | William Robert Millar Sanhueza
Jorge Rogelio Marín Rossel | ISRELATEDTO | Emporchi
William Robert Millar Sanhueza | ISRELATEDTO | Ferrocarriles Del Estado De Iquique
Jorge Rogelio Marín Rossel | ISRELATEDTO | Salomé Castillo Parraga
Jorge Rogelio Marín Rossel | ISRELATEDTO | Carlos Forestier
Cuartel De Investigaciones De Arica | ISCONTAINEDIN | Arica
Cuartel De Investigaciones De Arica | ISPARTOF | Investigaciones
Detencion | OCCURSAT | Cuartel De Investigaciones De Arica
Grober Hugo Venegas Islas | WASPRESENTAT | Cuartel De Investigaciones De Arica
Grober Hugo Venegas Islas | ISRELATEDTO | Augusto Pinochet Ugarte
Grober Hugo Venegas Islas | ISRELATEDTO | José Luis Catalán Reyes
Grober Hugo Venegas Islas | ISRELATEDTO | Patricio Padilla Villén
Grober Hugo Venegas Islas | ISRELATEDTO | José Vignolo Quezada
Grober Hugo Venegas Islas | ISRELATEDTO | Cire
Manuel Araya Zavala | WASPRESENTAT | Cuartel De Investigaciones De Arica
Oscar Walter Pedro Ripoll Codoceo | WASPRESENTAT | Cuartel De Investigaciones De Arica
Julio Gastón Valenzuela Bastias | WASPRESENTAT | Cuartel De Investigaciones De Arica
Manuel Francisco Donoso Dañobeitia | WASPRESENTAT | Cuartel De Investigaciones De Arica
Rancagua Regimiento | ISRELATEDTO | Cuartel De Investigaciones De Arica
Pisagua | ISRELATEDTO | Arica
Sankán | WASPRESENTAT | Cuartel De Investigaciones De Arica
Grober Hugo Venegas Islas | ISRELATEDTO | Centro De Inteligencia Regional (Cire)
Grober Hugo Venegas Islas | ISRELATEDTO | Cuartel De La Policía De Investigaciones De Arica
Grober Hugo Venegas Islas | ISRELATEDTO | Valle De Azapa
Centro De Inteligencia Regional (Cire) | ISRELATEDTO | Valle De Azapa
Arica | ISRELATEDTO | Grober Hugo Venegas Islas
Rodrigo Olavarría Rodríguez | ISRELATEDTO | Corte De Apelaciones De Arica
Patricio Padilla Villar | ISRELATEDTO | Grober Hugo Venegas Islas
José Luis Catalán Reyes | ISRELATEDTO | Grober Hugo Venegas Islas
José Vignolo Quezada | ISRELATEDTO | Grober Hugo Venegas Islas
Rodrigo Olavarría Rodríguez | ISRELATEDTO | Grober Hugo Venegas Islas
El Supermercado | ISCONTAINEDIN | I Región
Mercado De Pisagua | ISCONTAINEDIN | Puerto De Pisagua
Teatro Municipal De Pisagua | ISCONTAINEDIN | Puerto De Pisagua
Ex-Cárcel Pública | ISCONTAINEDIN | Puerto De Pisagua
Multicancha Deportiva De Pisagua | ISCONTAINEDIN | Puerto De Pisagua
Escuela De Pisagua | ISCONTAINEDIN | Puerto De Pisagua
Fosa De Pisagua | ISPARTOF | Cementerio Histórico De Pisagua
Campamento De Prisioneros De Pisagua | ISCONTAINEDIN | Puerto De Pisagua
Campamento De Prisioneros De Pisagua | ISRELATEDTO | Gabriel González Videla Era
Campamento De Prisioneros De Pisagua | ISRELATEDTO | Carlos Ibáñez Del Campo Era
Campamento De Prisioneros De Pisagua | ISRELATEDTO | Régimen Militar
Comisión Nacional De Verdad Y Reconciliación | ISRELATEDTO | Fosa De Pisagua
Comisión Nacional De Verdad Y Reconciliación | ISRELATEDTO | Multicancha Deportiva De Pisagua
Nelson Bravo Ramírez | ISRELATEDTO | Carlos Herrera Jiménez
Luis Emilio Morales Marino | ISRELATEDTO | Miguel Aguirre
Luis Emilio Morales Marino | ISRELATEDTO | Roberto Fuentes Zambrano
Miguel Aguirre | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Roberto Fuentes Zambrano | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Nelson Bravo Ramírez | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Batallón Logístico N° 6 Pisagua | ISCONTAINEDIN | Iquique
Base Aérea Los Cóndores | ISCONTAINEDIN | Alto Hospicio
Campamento De Prisioneros De Pisagua | ISCONTAINEDIN | Iquique
Campamento – Camping Las Machas | ISCONTAINEDIN | Arica
Cárcel Buen Pastor De Iquique | ISCONTAINEDIN | Iquique
Cárcel Pública De Arica | ISCONTAINEDIN | Arica
Luis A. Lizardi Lizardi | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Marcelo O. Guzmán Fuentes | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Nolberto Jesús Cañas | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Michel Selim Nash Saez | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Juan Calderón Villalón | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Juan Jiménez Vidal | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Las Dunas | ISCONTAINEDIN | Arica
Centro De Detención Las Machas | ISCONTAINEDIN | Arica
Centro De Detención Las Machas | ISRELATEDTO | Ejército
Centro De Detención Las Machas | ISRELATEDTO | Informe Valech
Base Aérea Los Cóndores | ISRELATEDTO | Nelson Márquez
Batallón Logístico N° 6 Pisagua | ISRELATEDTO | Nelson Márquez
Campamento De Prisioneros De Pisagua | ISRELATEDTO | Marcelino Lamas Largo
Cárcel Buen Pastor De Iquique | ISCONTAINEDIN | I Región
Cárcel Pública De Arica | ISCONTAINEDIN | I Región
Decreto De Ley N°4 | ISRELATEDTO | Arica
Decreto De Ley N°4 | OCCURSAT | Estado De Emergencia
Luis Pino Soto | ISRELATEDTO | Liceo A-1
Pilo Durana | ISRELATEDTO | Armagedón
Pilo Durana | ISRELATEDTO | Bolsonaro
Arica | ISRELATEDTO | Dina
Arica | ISRELATEDTO | Cni
Decreto De Ley N°4 | OCCURSAT | 11 De Septiembre De 1973
Luis Pino Soto | ISRELATEDTO | Arica
Armagedón | ISRELATEDTO | Patria Y Libertad
Piñera | ISRELATEDTO | Arica
Campamento/Camping Las Machas | ISCONTAINEDIN | Arica
Cárcel Anexa | ISCONTAINEDIN | Arica
Cárcel De Arica | ISCONTAINEDIN | Arica
Cárcel De Mujeres Buen Pastor De Arica | ISCONTAINEDIN | Arica
Casa De Seguridad De La Dina/Cni Carrera Pinto | ISCONTAINEDIN | Arica
Comisaría De Carabineros Carlos Dittborn | ISCONTAINEDIN | Arica
Comisaría De Carabineros De Arica | ISCONTAINEDIN | Arica
Comisaría De Carabineros Nº 3 | ISCONTAINEDIN | Arica
Cuartel De Investigaciones | ISCONTAINEDIN | Arica
Industria Abandonada Frente A La Ex Citroen | ISCONTAINEDIN | Arica
Inmueble En Avenida Santa María 2936 | ISCONTAINEDIN | Arica
Loteo Tarapacá Oriente | ISCONTAINEDIN | Arica
Prefectura De Carabineros | ISCONTAINEDIN | Arica
Recinto Cni Calle Azola | ISCONTAINEDIN | Arica
Recinto Cni Camino A Azapa | ISCONTAINEDIN | Arica
Recinto Dina Calle Diego Portales | ISCONTAINEDIN | Arica
Regimiento Motorizado Reforzado Nº 4 Rancagua | ISCONTAINEDIN | Arica
Iglesia Del Carmen | ISCONTAINEDIN | Arica
Campamento De Prisioneros De Pisagua | ISCONTAINEDIN | Pisagua
Campamento De Prisioneros De Pisagua | ISCONTAINEDIN | Huara Tarapacá I Región
Campamento De Prisioneros De Pisagua | ISRELATEDTO | Sexta División Del Ejército
Teniente Coronel Ramón Larrain Larrain | ISRELATEDTO | Campamento De Prisioneros De Pisagua
Nelson Márquez | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Orlando Tomás Cabello Cabello | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Nicolás Chanez Chanez | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Juan Mamani Garcia | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Luis Aníbal Manriquez Wilden | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Hugo Tomás Martinez Guillen | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Juan Rojas Osega | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Julio Cabezas Gacitua | WASPRESENTAT | Campamento De Prisioneros De Pisagua
José Cordova Croxatto | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Humberto Lizardi Flores | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Mario Morris Barrios | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Juan Valencia Hinojosa | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Rodolfo Jacinto Fuenzalida Fernandez | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Juan Antonio Ruz Diaz | WASPRESENTAT | Campamento De Prisioneros De Pisagua
José Demóstenes Rosier Sampson Ocaranza | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Freddy Marcelo Taberba Gallegos | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Germán Eladio Palominos Lamas | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Juan Alarcón | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Nolberto Cañas | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Marcelo Guzmán | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Michel Nash | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Luis Lizardi | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Juan Jiménez | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Alberto Enrique Neumann Lagos | WASPRESENTAT | Campamento De Prisioneros De Pisagua
Comandante Larraín | ISRELATEDTO | Pelotón De Fusilamiento
Pelotón De Fusilamiento | ISRELATEDTO | Prisioneros
Juan Valencia | WASPRESENTAT | Pelotón De Fusilamiento
Humberto Lizardi | WASPRESENTAT | Pelotón De Fusilamiento
Mario Morris | WASPRESENTAT | Pelotón De Fusilamiento
José Córdova | WASPRESENTAT | Pelotón De Fusilamiento
Julio Cabezas | WASPRESENTAT | Pelotón De Fusilamiento
Juan Valencia | WASPRESENTAT | Campo De Pisagua
Humberto Lizardi | WASPRESENTAT | Campo De Pisagua
Julio Cabezas | WASPRESENTAT | Campo De Pisagua
Mario Morris | WASPRESENTAT | Campo De Pisagua
Cni | ISRELATEDTO | Campo De Pisagua
Campo De Pisagua | ISCONTAINEDIN | Pisagua
Freddy Taberna | ISRELATEDTO | Jini Arancibia
Julio Cabezas | ISRELATEDTO | Carlos Vila
Julio Cabezas | ISRELATEDTO | Vladislav Kuzmicic
Haroldo Quinteros | WASPRESENTAT | Pisagua
Hernán Sánchez | ISRELATEDTO | Pisagua
Nelson Muñoz | ISRELATEDTO | Pisagua
Jaime Estévez | ISRELATEDTO | Augusto Pinochet
Vicaría De La Solidaridad | ISRELATEDTO | Cementerio De Pisagua
Alberto Neumann Lagos | ISRELATEDTO | Vicaría De La Solidaridad
Alberto Neumann Lagos | ISRELATEDTO | Concertación
Concertación | ISRELATEDTO | Patricio Aylwin
Iquique | ISRELATEDTO | Campo De Concentración De Pisagua
Francisco Prieto Enríquez | ISRELATEDTO | Campo De Concentración De Pisagua
Comandante Larraín | ISRELATEDTO | Campo De Concentración De Pisagua
Barco Maipo | OCCURSAT | Campo De Concentración De Pisagua
Juan Alarcón | ISRELATEDTO | Campo De Concentración De Pisagua
Nolberto Cañas | ISRELATEDTO | Campo De Concentración De Pisagua
Marcelo Guzmán | ISRELATEDTO | Campo De Concentración De Pisagua
Michel Nash | ISRELATEDTO | Campo De Concentración De Pisagua
Luis Lizardi | ISRELATEDTO | Campo De Concentración De Pisagua
Juan Jiménez | ISRELATEDTO | Campo De Concentración De Pisagua
José Córdova | ISRELATEDTO | Campo De Concentración De Pisagua
Humberto Lizardi | ISRELATEDTO | Campo De Concentración De Pisagua
Mario Morris | ISRELATEDTO | Campo De Concentración De Pisagua
Julio Cabezas | ISRELATEDTO | Campo De Concentración De Pisagua
Juan Valencia | ISRELATEDTO | Campo De Concentración De Pisagua
Carlos Forestier | ISRELATEDTO | Campo De Concentración De Pisagua
Militar Mario Acuña | ISRELATEDTO | Carlos Forestier
Jorge Chino Navarrete | ISRELATEDTO | Campo De Concentración De Pisagua
Alvaro Escobar | ISRELATEDTO | Jorge Chino Navarrete
Universidad De Chile | ISRELATEDTO | Pisagua
Universidad Arturo Prat | ISRELATEDTO | Pisagua
Juana Torres | ISRELATEDTO | Corporación De Ex Presos Políticos De Pisagua
Claudio Nash | ISRELATEDTO | Universidad De Chile
Oscar Varela | ISRELATEDTO | Corporación De Ex Presos Políticos De Pisagua
Juan Ramírez | ISRELATEDTO | Corporación De Ex Presos Políticos De Pisagua
Jaime Coronil | ISRELATEDTO | Corporación De Ex Presos Políticos De Pisagua
Augusto Pinochet | ISRELATEDTO | Campo De Concentración De Pisagua
Ricardo Izurieta | ISRELATEDTO | Augusto Pinochet
Pisagua | WASPRESENTAT | Enrique
Pisagua | WASPRESENTAT | Félix Morales Cortés
Pisagua | WASPRESENTAT | Freddy Taberna
Pisagua | WASPRESENTAT | José Sampson Ocaranza
Pisagua | WASPRESENTAT | Juan Antonio Ruz
Pisagua | WASPRESENTAT | Rodolfo Fuenzalida
Pisagua | WASPRESENTAT | Luis Lizardi
Pisagua | WASPRESENTAT | Marcelo Guzmán
Pisagua | WASPRESENTAT | Michel Nash Sáez
Pisagua | WASPRESENTAT | Javier Prado Aránguiz
Pisagua | WASPRESENTAT | Nelson Muñoz Morales
Pisagua | WASPRESENTAT | General Pinochet
Pisagua | WASPRESENTAT | González Videla
General Pinochet | ISRELATEDTO | Freddy Taberna
Michel Nash Sáez | ISRELATEDTO | Sergio Benavides Villarreal
Michel Nash Sáez | ISRELATEDTO | Manuel Vega Collao
Michel Nash Sáez | ISRELATEDTO | Roberto Ampuero Alarcón
Michel Nash Sáez | ISRELATEDTO | Gabriel Guerrero Reeve
Michel Nash Sáez | ISRELATEDTO | Arturo Contador Rosales
Michel Nash Sáez | ISRELATEDTO | Sergio Figueroa López
Michel Nash Sáez | ISRELATEDTO | Miguel Aguirre Álvarez
Fosa Común En Pisagua | ISRELATEDTO | Campamento De Prisioneros De Pisagua
Vicaría De La Solidaridad | ISRELATEDTO | Fosa Común En Pisagua
Vicaría De La Solidaridad | ISRELATEDTO | Juzgado De Pozo Almonte
Corte De Apelaciones De Arica | ISRELATEDTO | Juzgado De Pozo Almonte
Corte De Apelaciones De Arica | ISRELATEDTO | Séptimo Juzgado Militar De Arica
Séptimo Juzgado Militar De Arica | ISRELATEDTO | Corte Suprema
General Augusto Pinochet | ISRELATEDTO | Golpe De Estado 1973
Huellas De Sal | ISRELATEDTO | Grupo Proceso
Huellas De Sal | ISRELATEDTO | Andrés Vargas
Cárcel Buen Pastor De Iquique | ISCONTAINEDIN | Iquique
Cárcel Buen Pastor De Iquique | ISRELATEDTO | Gendarmería
Cárcel Buen Pastor De Iquique | OCCURSAT | 1973
Cárcel De Mujeres Buen Pastor | ISCONTAINEDIN | Arica
Cárcel De Mujeres Buen Pastor | ISPARTOF | Colón Nº 30
Cárcel De Mujeres Buen Pastor | ISRELATEDTO | Gendarmería
Cárcel De Mujeres Buen Pastor | OCCURSAT | Primer Período
Cárcel De Mujeres Buen Pastor | OCCURSAT | 1974
Cárcel De Mujeres Buen Pastor | ISRELATEDTO | Cni
Dictadura En Arica | ISRELATEDTO | 11 De Septiembre De 1973
11 De Septiembre De 1973 | OCCURSAT | Zona En Estado De Emergencia
Decreto De Ley N°4 | OCCURSAT | 11 De Septiembre De 1973
Luis Pino Soto | ISRELATEDTO | Liceo A-1
Iglesia Del Carmen | ISRELATEDTO | Armagedón
Armagedón | ISRELATEDTO | Patria Y Libertad
Armagedón | ISRELATEDTO | Udi
Pilo Durana | ISRELATEDTO | Udi
Pilo Durana | ISRELATEDTO | Bolsonaro
Campamento Las Machas | ISRELATEDTO | Dina
Cárcel Anexa | ISRELATEDTO | Dina
Cárcel De Arica | ISRELATEDTO | Dina
